trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,True,"{'a': 0.0, 'e': 0.0}",25,8,27.72908623860614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,6,20.67428541141822,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,0,38.96987370155997,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",20,9,20.71946358057969,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",25,11,-17.34413079674017,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,13,19.486985526795788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",20,10,7.765620595569846,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",25,14,22.07146682305429,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,9,-19.71367498125119,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,True,"{'a': 0.0, 'e': 0.0}",20,13,15.230394998774448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",20,8,19.930989024651907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,0,33.842186279537756,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,16,9.308611270547454,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",25,6,-11.605927874493329,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,True,"{'a': 0.0, 'e': 0.0}",25,7,32.80162559091909,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,0,31.96802169248435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",20,11,18.32843949260643,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.0, 'e': 0.0}",20,6,24.405133579628117,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",25,0,40.904988266300535,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,10,18.15422044053038,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",30,11,34.3120365496308,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.428965866570074,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
37,True,"{'a': 0.0, 'e': 0.0}",25,19,11.61611725121804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",25,0,15.595638153075193,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
39,True,"{'a': 0.0, 'e': 0.0}",25,0,37.549282468295644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,True,"{'a': 0.0, 'e': 0.0}",20,0,29.758106165776542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0.0, 'e': 0.0}",25,11,25.008693882398113,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",20,2,29.065574145188297,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0.0, 'e': 0.0}",30,0,38.481101411699456,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",20,16,7.708952253446425,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.862173937306817,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,True,"{'a': 0.0, 'e': 0.0}",30,18,20.54883743533319,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0.0, 'e': 0.0}",25,6,31.296148700004526,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0.0, 'e': 0.0}",20,5,23.62363657437746,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0.0, 'e': 0.0}",20,0,24.446179962656345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,True,"{'a': 0.0, 'e': 0.0}",35,12,33.688785720917174,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0.0, 'e': 0.0}",20,3,28.150024270545256,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0.0, 'e': 0.0}",20,8,20.195783053881023,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0.0, 'e': 0.0}",35,18,-13.216737380736278,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,True,"{'a': 0.0, 'e': 0.0}",30,12,27.57472038538682,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0.0, 'e': 0.0}",25,0,38.52493872372758,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,True,"{'a': 0.0, 'e': 0.0}",20,6,25.668229912670363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.0, 'e': 0.0}",30,0,40.26896860754393,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,True,"{'a': 0.0, 'e': 0.0}",20,16,6.869725603853331,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0.0, 'e': 0.0}",30,0,29.535682768827204,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,True,"{'a': 0.0, 'e': 0.0}",25,5,32.40329026997811,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0.0, 'e': 0.0}",25,10,29.957045780552342,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0.0, 'e': 0.0}",20,12,-10.830162385856749,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,True,"{'a': 0.0, 'e': 0.0}",20,12,9.076965774237694,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0.0, 'e': 0.0}",30,0,-27.81217004560131,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
65,True,"{'a': 0.0, 'e': 0.0}",20,15,9.143333077345929,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0.0, 'e': 0.0}",20,12,13.846394925443231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0.0, 'e': 0.0}",20,0,36.17171534932101,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.0, 'e': 0.0}",20,3,-35.584444133075955,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
69,True,"{'a': 0.0, 'e': 0.0}",30,20,18.664917802651257,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.0, 'e': 0.0}",20,11,17.633603994476022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0.0, 'e': 0.0}",20,13,15.237114744385392,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.0, 'e': 0.0}",25,20,9.639255996098019,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.0, 'e': 0.0}",20,0,33.04971842324736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,True,"{'a': 0.0, 'e': 0.0}",25,6,23.457496284429485,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.0, 'e': 0.0}",25,11,23.02759369524538,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.0, 'e': 0.0}",30,0,41.29506728377946,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0.0, 'e': 0.0}",20,13,11.728753282215795,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.0, 'e': 0.0}",20,0,28.66897315080009,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,True,"{'a': 0.0, 'e': 0.0}",20,10,17.601366231359627,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0.0, 'e': 0.0}",20,5,-15.515000788200746,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
81,True,"{'a': 0.0, 'e': 0.0}",20,6,27.560107010372697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0.0, 'e': 0.0}",35,24,19.630483781080617,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0.0, 'e': 0.0}",20,13,12.856849119086501,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0.0, 'e': 0.0}",30,22,15.634981433043196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0.0, 'e': 0.0}",25,18,8.871730098323836,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0.0, 'e': 0.0}",20,6,25.221961444694266,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0.0, 'e': 0.0}",20,10,17.929661904983007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0.0, 'e': 0.0}",30,16,5.170870164457439,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,True,"{'a': 0.0, 'e': 0.0}",30,10,-23.196082165291518,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
90,True,"{'a': 0.0, 'e': 0.0}",30,0,1.9911802254037856,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,True,"{'a': 0.0, 'e': 0.0}",25,17,15.928169499136178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0.0, 'e': 0.0}",20,4,25.976420036201613,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0.0, 'e': 0.0}",20,10,13.466732588114677,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0.0, 'e': 0.0}",20,0,24.584368473929153,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
95,True,"{'a': 0.0, 'e': 0.0}",20,13,10.412860248716871,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0.0, 'e': 0.0}",20,10,13.783513359165736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0.0, 'e': 0.0}",30,8,44.38281780537471,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0.0, 'e': 0.0}",30,16,-20.847578197782326,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,True,"{'a': 0.0, 'e': 0.0}",25,12,13.442835158099705,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0.0, 'e': 0.0}",20,0,7.626995237756365,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
