trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.5, 'e': 0.9966671851448969}",35,0,-222.24486928830112,"{0: 18, 1: 5, 2: 8, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.9965812295919071}",20,6,0.726938548697009,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.9964941815777039}",20,0,-44.82964414442533,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9964060411977101}",20,0,-144.6859039512741,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9963168085485462}",20,0,-164.13771307525917,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9962264837280297}",25,0,-252.43191003914728,"{0: 11, 1: 2, 2: 5, 3: 4, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9961350668351754}",20,0,-65.76873123314103,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9960425579701955}",25,0,-225.75345942119299,"{0: 6, 1: 2, 2: 14, 3: 2, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9959489572344987}",35,0,-155.24402806154066,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.9958542647306913}",25,0,-124.39827341954386,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.995758480562576}",20,0,-98.79171433796155,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9956616048351521}",25,0,-143.33540140798513,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.9955636376546156}",20,1,-42.21282978803227,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.9954645791283594}",30,0,-84.21645699991058,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9953644293649719}",25,0,-130.8335190643342,"{0: 12, 1: 3, 2: 7, 3: 3, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9952631884742383}",25,0,-154.49077428138807,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.9951608565671399}",25,0,-50.77325687904984,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9950574337558536}",25,7,-69.37920204361754,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.9949529201537527}",20,0,-108.82497076466936,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9948473158754058}",25,0,-122.72643483883236,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9947406210365771}",25,0,-156.80895578951453,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9946328357542266}",30,0,-189.33004533323646,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9945239601465095}",30,0,-122.99240313629893,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9944139943327761}",25,0,-122.3026018085137,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.994302938433572}",20,0,-94.26164141119973,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9941907925706377}",20,0,-57.938226983843585,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.9940775568669084}",20,0,-108.036170417871,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.993963231446514}",30,0,-302.40176045991706,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 6}",0
106,False,"{'a': 0.5, 'e': 0.9938478164347793}",25,0,-177.39565730387108,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.993731311958223}",25,0,-149.2368189234744,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.9936137181445585}",20,16,8.144840978252512,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.9934950351226931}",25,0,-228.27701426152015,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
110,False,"{'a': 0.5, 'e': 0.9933752630227283}",25,0,-37.610923043522064,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.9932544019759593}",25,0,-227.714915025736,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
112,False,"{'a': 0.5, 'e': 0.9931324521148749}",30,0,-221.5539173101376,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
113,False,"{'a': 0.5, 'e': 0.9930094135731579}",25,0,-60.107163336460644,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.992885286485684}",20,0,-93.92626748587456,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9927600709885225}",30,13,-131.15711847325326,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.9926337672189358}",25,0,-183.14289314110667,"{0: 10, 1: 2, 2: 10, 3: 2, 4: 1}",0
