trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,True,"{'a': 0.0, 'e': 0.0}",25,12,20.56852538758932,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.0, 'e': 0.0}",35,21,25.849593333112203,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.0, 'e': 0.0}",30,12,32.63559325699777,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.0, 'e': 0.0}",20,0,28.9925668974389,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0.0, 'e': 0.0}",20,0,28.55615323376955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,True,"{'a': 0.0, 'e': 0.0}",20,14,13.978985820338782,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0.0, 'e': 0.0}",20,0,29.233222132882197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,True,"{'a': 0.0, 'e': 0.0}",20,0,29.286501693795657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,True,"{'a': 0.0, 'e': 0.0}",30,0,38.37332623323453,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,True,"{'a': 0.0, 'e': 0.0}",35,0,43.35432389461951,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.46522673327099,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
84,True,"{'a': 0.0, 'e': 0.0}",20,0,28.945803753904688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,True,"{'a': 0.0, 'e': 0.0}",25,0,35.77566389589571,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,True,"{'a': 0.0, 'e': 0.0}",25,0,-8.7006749987106,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
87,True,"{'a': 0.0, 'e': 0.0}",35,21,20.455498168241064,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0.0, 'e': 0.0}",30,0,40.18610944668602,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,True,"{'a': 0.0, 'e': 0.0}",20,0,29.649695949667713,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,True,"{'a': 0.0, 'e': 0.0}",30,6,41.04878241173246,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0.0, 'e': 0.0}",20,0,29.342555528440478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,True,"{'a': 0.0, 'e': 0.0}",20,12,15.015994898165122,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0.0, 'e': 0.0}",20,0,5.081939793061956,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
94,True,"{'a': 0.0, 'e': 0.0}",20,0,25.109835990866475,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,True,"{'a': 0.0, 'e': 0.0}",35,0,46.249428482432954,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,True,"{'a': 0.0, 'e': 0.0}",25,0,36.3472502202119,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,True,"{'a': 0.0, 'e': 0.0}",25,0,38.23203297201578,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,True,"{'a': 0.0, 'e': 0.0}",30,12,3.4772801889546425,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,True,"{'a': 0.0, 'e': 0.0}",20,7,3.24796962295657,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,True,"{'a': 0.0, 'e': 0.0}",20,11,20.830506185729824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
